,pitcher,batter,ballCount,type,speed,stance,crossPlateX,crossPlateY,topSz,bottomSz,vy0,vz0,vx0,z0,y0,x0,ax,ay,az,strike,ball,out,base1,base2,base3,target,event_order,totalBallCount
255,51594,66606,3,슬라이더,128.0,L,-1.65012,0.7083,3.319,1.628,-116.202,-2.5124,-4.51636,6.04886,50.0,0.985495,-6.60236,20.3689,-27.0824,1,1,1,6,5,4,B,256,3
256,51594,66606,4,슬라이더,127.0,L,-0.835522,0.7083,3.319,1.628,-116.098,-3.39102,-3.03351,5.89615,50.0,1.18086,-6.88982,21.1767,-29.691,1,2,1,6,5,4,HO,257,4
257,51594,78168,1,슬라이더,126.0,L,-0.919973,0.7083,3.304,1.62,-114.555,-3.23386,-3.43948,5.93852,50.0,1.24881,-6.39292,17.9159,-28.8583,0,0,2,6,5,0,B,258,5
258,51594,78168,2,커브,114.0,L,1.09035,0.7083,3.304,1.62,-104.236,-0.075707,0.61077,6.12133,50.0,1.44754,-5.44861,15.783,-38.43,0,1,2,6,5,0,B,259,6
259,51594,78168,3,직구,140.0,L,0.29014,0.7083,3.304,1.62,-127.808,-5.43818,-2.82033,5.73962,50.0,1.20295,2.73716,26.0035,-12.4515,0,2,2,6,5,0,F,260,7
260,51594,78168,4,직구,140.0,L,0.384053,0.7083,3.304,1.62,-127.979,-3.37714,-2.07048,5.83019,50.0,1.2117,0.007918,23.8141,-18.0935,1,2,2,6,5,0,S,261,8
261,51594,78168,5,직구,140.0,L,0.95837,0.7083,3.304,1.62,-127.527,-0.81425,-0.871144,5.94111,50.0,1.22231,1.07816,27.2501,-13.4065,2,2,2,6,5,0,S,262,9
262,51546,63722,1,슬라이더,128.0,R,0.249987,0.7083,3.254,1.596,-116.797,-2.53679,4.94766,5.07165,50.0,-1.70613,-2.21488,19.8701,-31.9611,0,0,2,8,6,5,S,263,1
263,51546,63722,2,커브,118.0,R,1.44603,0.7083,3.254,1.596,-107.766,1.78362,5.94659,5.49177,50.0,-1.70637,3.053,14.8047,-37.324,1,0,2,8,6,5,B,264,2
264,51546,63722,3,직구,137.0,R,0.676745,0.7083,3.254,1.596,-124.333,-4.5902,8.90376,5.01459,50.0,-1.65102,-15.8048,23.2378,-22.8166,1,1,2,8,6,5,B,265,3
265,51546,63722,4,슬라이더,126.0,R,-0.911424,0.7083,3.254,1.596,-114.739,4.06986,2.51318,5.41087,50.0,-1.89689,-1.36713,19.2366,-33.0099,1,2,2,8,6,5,B,266,4
266,51546,63722,5,직구,135.0,R,0.315221,0.7083,3.254,1.596,-123.123,-6.02069,7.16822,5.01676,50.0,-1.51264,-13.3629,24.031,-18.3225,1,3,2,8,6,5,B,267,5
267,51546,52605,1,슬라이더,127.0,R,-1.01598,0.7083,3.35,1.643,-115.793,0.842366,2.54318,5.23467,50.0,-1.88968,-2.60195,22.2839,-31.6483,0,0,2,9,8,6,B,268,6
268,51546,52605,2,직구,138.0,R,1.59173,0.7083,3.35,1.643,-125.668,-3.73328,9.87157,5.0819,50.0,-1.42906,-12.0458,22.6108,-18.7509,0,1,2,9,8,6,B,269,7
269,51546,52605,3,슬라이더,125.0,R,-1.37582,0.7083,3.35,1.643,-113.883,2.0356,1.88492,5.36785,50.0,-2.00422,-2.14308,16.0942,-32.4075,0,2,2,9,8,6,B,270,8
270,51546,52605,4,직구,141.0,R,0.271136,0.7083,3.35,1.643,-127.821,-2.85523,7.08808,5.25806,50.0,-1.61449,-11.9438,26.7216,-15.0944,0,3,2,9,8,6,S,271,9
271,51546,52605,5,직구,139.0,R,-1.13436,0.7083,3.35,1.643,-126.972,0.903761,4.52198,5.28791,50.0,-1.69987,-15.4134,27.463,-21.268,1,3,2,9,8,6,B,272,10
272,52530,52667,1,슬라이더,136.0,R,1.02366,0.7083,3.306,1.621,-123.76,-3.96238,6.39208,5.8978,50.0,-1.75072,1.46943,23.1009,-31.7258,0,0,2,1,9,8,1H,273,1
